episode,reward,steps,loss
0,14,19,None
1,21,26,None
2,11,16,None
3,14,19,None
4,12,17,None
5,17,22,None
6,15,20,None
7,14,19,None
8,6,11,None
9,13,18,None
10,14,19,None
11,12,17,None
12,14,19,None
13,15,20,None
14,17,22,None
15,14,19,None
16,12,17,None
17,18,23,None
18,14,19,None
19,11,16,None
20,13,18,None
21,10,15,None
22,14,19,None
23,11,16,None
24,7,12,None
25,9,14,None
26,15,20,None
27,9,14,None
28,15,20,None
29,10,15,None
30,10,15,None
31,11,16,None
32,9,14,None
33,14,19,None
34,19,24,None
35,17,22,None
36,8,13,None
37,14,19,None
38,15,20,None
39,17,22,None
40,9,14,None
41,14,19,None
42,18,23,None
43,14,19,None
44,14,19,None
45,15,20,None
46,12,17,None
47,13,18,None
48,11,16,None
49,13,18,None
50,7,12,None
51,14,19,None
52,13,18,None
53,8,13,None
54,14,19,None
55,6,11,None
56,16,21,None
57,12,17,None
58,10,15,None
59,15,20,None
60,16,21,None
61,13,18,None
62,15,20,None
63,7,12,None
64,18,23,None
65,22,27,None
66,16,21,None
67,18,23,None
68,19,24,None
69,11,16,None
70,18,23,None
71,20,25,None
72,15,20,None
73,12,17,None
74,16,21,None
75,14,19,None
76,16,21,None
77,11,16,None
78,17,22,None
79,17,22,None
80,12,17,None
81,13,18,None
82,15,20,None
83,10,15,None
84,11,16,None
85,15,20,None
86,10,15,None
87,13,18,None
88,19,24,None
89,13,18,None
90,16,21,None
91,17,22,None
92,15,20,None
93,16,21,None
94,19,24,None
95,6,11,None
96,8,13,None
97,11,16,None
98,10,15,None
99,14,19,None
100,32,27,None
101,19,24,None
102,17,22,None
103,14,19,None
104,9,14,None
105,13,18,None
106,14,19,None
107,14,19,None
108,14,19,None
109,11,16,None
110,17,22,None
111,14,19,None
112,13,18,None
113,5,10,None
114,17,22,None
115,11,16,None
116,18,23,None
117,19,24,None
118,12,17,None
119,6,11,None
120,9,14,None
121,20,25,None
122,14,19,None
123,12,17,None
124,14,19,None
125,12,17,None
126,14,19,None
127,26,21,None
128,12,17,None
129,15,20,None
130,15,20,None
131,7,12,None
132,15,20,None
133,13,18,None
134,11,16,None
135,13,18,None
136,18,23,None
137,19,24,None
138,11,16,None
139,18,23,None
140,11,16,None
141,12,17,None
142,14,19,None
143,18,23,None
144,17,22,None
145,14,19,None
146,13,18,None
147,12,17,None
148,13,18,None
149,16,21,None
150,7,12,None
151,11,16,None
152,16,21,None
153,11,16,None
154,15,20,None
155,18,23,None
156,7,12,None
157,11,16,None
